ABORIGINE	a member of the people living in Australia when Europeans arrived
ABORT	the act of terminating a project or procedure before it is completed
ABORTION	termination of pregnancy
ABORTIONIST	a person (who should be a doctor) who terminates pregnancies
ABORTIVE	failing to accomplish an intended result
ABORTIVELY	in an unfruitful manner
ABOUND	be abundant or plentiful; exist in large quantities
ABOUNDING	existing in abundance
ABOUT	(of quantities) imprecise but fairly close to correct
ABOVE	an earlier section of a written text
ABOVEBOARD	without concealment or deception; honest
ABRACADABRA	gibberish and nonsense
ABRADE	rub hard or scrub
ABRASION	an abraded area where the skin is torn or worn off
ABRASIVE	a substance that abrades or wears down
ABRASIVENESS	the roughness of a substance that causes abrasions
ABREAST	being up to particular standard or level especially in being up to date in knowledge
ABRIDGE	reduce in scope while retaining essential elements
ABRIDGED	(used of texts) shortened by condensing or rewriting
ABRIDGEMENT	a shortened version of a written work
ABRIDGMENT	a shortened version of a written work
ABROAD	in a foreign country
ABROGATE	revoke formally
ABROGATION	the act of abrogating; an official or legal cancellation
ABROGATOR	an authority or official empowered to abolish or annul or repeal
ABRUPT	marked by sudden changes in subject and sharp transitions
ABRUPTLY	quickly and without warning
ABRUPTNESS	the property possessed by a slope that is very steep
ABS	abbreviation of "acrylonitrile-butadiene-styrene": any of a class of composite plastics used to make car bodies and cases for computers and other appliances
ABSCESS	symptom consisting of a localized collection of pus surrounded by inflamed tissue
ABSCESSED	infected and filled with pus
ABSCISSA	the value of a coordinate on the horizontal axis
ABSCISSION	shedding of flowers and leaves and fruit following formation of scar tissue in a plant
ABSCOND	run away; usually includes taking something or somebody along
ABSCONDER	a fugitive who runs away and hides to avoid arrest or prosecution
ABSEIL	(mountaineering) a descent of a vertical cliff or wall made by using a doubled rope that is fixed to a higher point and wrapped around the body
ABSENCE	the state of being absent
ABSENT	not being in a specified place
ABSENTEE	one that is absent or not in residence
ABSENTEEISM	habitual absence from work
ABSENTLY	in an absentminded or preoccupied manner
ABSENTMINDED	lost in thought; showing preoccupation
ABSENTMINDEDNESS	preoccupation so great that the ordinary demands on attention are ignored
ABSINTH	strong green liqueur flavored with wormwood and anise
ABSINTHE	strong green liqueur flavored with wormwood and anise
ABSOLUTE	perfect or complete or pure
ABSOLUTELY	completely and without qualification; used informally as intensifiers
ABSOLUTENESS	the quality of being complete or utter or extreme
ABSOLUTION	the condition of being formally forgiven by a priest in the sacrament of penance
ABSOLUTISM	dominance through threat of punishment and violence
ABSOLUTIST	one who advocates absolutism
ABSOLVE	grant remission of a sin to
ABSOLVED	freed from any question of guilt
ABSORB	take up, as of debts or payments
ABSORBANCE	(physics) a measure of the extent to which a substance transmits light or other electromagnetic radiation
ABSORBED	giving or marked by complete attention to
ABSORBENCY	the property of being absorbent
ABSORBENT	a material having capacity or tendency to absorb another substance
ABSORBING	capable of arousing and holding the attention
ABSORPTION	(chemistry) a process in which one substance permeates another; a fluid permeates or is dissolved by a liquid or solid
ABSORPTIVE	having power or capacity or tendency to absorb or soak up something (liquids or energy etc.)
ABSTAIN	refrain from voting
ABSTAINER	someone who practices self denial as a spiritual discipline
ABSTEMIOUS	sparing in consumption of especially food and drink
ABSTEMIOUSLY	in a sparing manner; without overindulgence
ABSTEMIOUSNESS	restricted to bare necessities
ABSTENTION	the trait of abstaining (especially from alcohol)
ABSTINENCE	the trait of abstaining (especially from alcohol)
ABSTINENT	a person who refrains from drinking intoxicating beverages
ABSTRACT	a concept or idea not associated with any specific instance
ABSTRACTED	lost in thought; showing preoccupation
ABSTRACTEDLY	in an absentminded or preoccupied manner
ABSTRACTEDNESS	preoccupation with something to the exclusion of all else
ABSTRACTION	a concept or idea not associated with any specific instance
ABSTRACTNESS	the quality of being considered apart from a specific instance or object
ABSTRUSE	difficult to penetrate; incomprehensible to one of ordinary understanding or knowledge
ABSTRUSELY	in a manner difficult to understand
ABSURD	a situation in which life seems irrational and meaningless
ABSURDITY	a message whose content is at variance with reason
ABSURDNESS	a message whose content is at variance with reason
ABUJA	capital of Nigeria in the center of the country
ABUNDANCE	the property of a more than adequate quantity or supply
ABUNDANT	present in great quantity
ABUSE	cruel or inhumane treatment
ABUSED	used improperly or excessively especially drugs
ABUSIVE	expressing offensive reproach
ABUT	lie adjacent to another or share a boundary
ABUTMENT	point of contact between two objects or parts
ABUZZ	noisy like the sound of a bee
ABYSMAL	very great; limitless
ABYSMALLY	in a terrible manner
ABYSS	a bottomless gulf or pit; any unfathomable (or apparently unfathomable) cavity or chasm or void extending below (often used figuratively)
ABYSSAL	relating to ocean depths from 2000 to 5000 meters
ABYSSINIAN	a small slender short-haired breed of African origin having brownish fur with a reddish undercoat
AC	abbreviation of "alternating current": an electric current that reverses direction sinusoidally
ACADEME	the academic world
ACADEMIA	the academic world
ACADEMIC	an educator who works at a college or university
ACADEMICALLY	in regard to academic matters
ACADEMICIAN	someone elected to honorary membership in an academy
ACADEMY	a secondary school (usually private)
ACADIA	the French-speaking part of the Canadian Maritime Provinces
ACAPULCO	a port and fashionable resort city on the Pacific coast of southern Mexico; known for beaches and water sports (including cliff diving)
ACCEDE	yield to another's wish or opinion
ACCELERATE	cause to move faster
ACCELERATED	speeded up, as of an academic course
ACCELERATION	an increase in rate of change
ACCELERATOR	a pedal that controls the throttle valve
ACCENT	distinctive manner of oral expression
ACCENTED	(used of syllables) bearing the principle stress, usually accompanied by a change in pitch
ACCENTING	the act of giving special importance or significance to something
ACCENTUAL	of or pertaining to accent or stress
ACCENTUATE	to stress, single out as important
ACCENTUATION	the use or application of an accent; the relative prominence of syllables in a phrase or utterance
ACCEPT	consider or hold as true
ACCEPTABILITY	satisfactoriness by virtue of conforming to approved standards
ACCEPTABLE	worthy of acceptance or satisfactory
ACCEPTABLENESS	satisfactoriness by virtue of conforming to approved standards
ACCEPTABLY	in an acceptable (but not outstanding) manner
ACCEPTANCE	the mental attitude that something is believable and should be accepted as true
ACCEPTATION	acceptance as true or valid
ACCEPTED	generally approved or compelling recognition
ACCEPTING	tolerating without protest
ACCESS	obtain or retrieve from a storage device; as of information on a computer
ACCESSIBILITY	the quality of being at hand when needed
ACCESSIBLE	capable of being reached
ACCESSION	a process of increasing by addition (as to a collection or group)
ACCESSORY	clothing that is worn or carried, but not part of your main clothing
ACCIDENT	an unfortunate mishap; especially one causing damage or injury
ACCIDENTAL	a musical notation that makes a note sharp or flat or natural although that is not part of the key signature
ACCIDENTALLY	without advance planning
ACCLAIM	clap one's hands or shout after performances to indicate approval
ACCLAMATION	enthusiastic approval
ACCLIMATE	get used to a certain climate
ACCLIMATION	adaptation to a new climate (a new temperature or altitude or environment)
ACCLIMATISATION	adaptation to a new climate (a new temperature or altitude or environment)
ACCLIMATISE	get used to a certain climate
ACCLIMATIZATION	adaptation to a new climate (a new temperature or altitude or environment)
ACCLIMATIZE	get used to a certain climate
ACCLIVITY	an upward slope or grade (as in a road)
ACCOLADE	a tangible symbol signifying approval or distinction
ACCOMMODATE	be agreeable or acceptable to
ACCOMMODATING	helpful in bringing about a harmonious adaptation
ACCOMMODATINGLY	in accommodation
ACCOMMODATION	making or becoming suitable; adjusting to circumstances
ACCOMPANIED	having companions or an escort
ACCOMPANIMENT	an event or situation that happens at the same time as or in connection with another
ACCOMPANIST	a person who provides musical accompaniment (usually on a piano)
ACCOMPANY	be present or associated with an event or entity
ACCOMPANYING	occurring with or following as a consequence
ACCOMPLICE	a person who joins with another in carrying out some plan (especially an unethical or illegal plan)
ACCOMPLISH	to gain with effort
ACCOMPLISHED	successfully completed or brought to an end
ACCOMPLISHMENT	the action of accomplishing something
ACCORD	harmony of people's opinions or actions or characters
ACCORDANCE	concurrence of opinion
ACCORDANT	being in agreement or harmony; often followed by ‘with’
ACCORDING	(followed by ‘to’) in agreement with or accordant with
ACCORDINGLY	(sentence connectors) because of the reason given
ACCORDION	a portable box-shaped free-reed instrument; the reeds are made to vibrate by air from the bellows controlled by the player
ACCORDIONIST	a musician who plays the accordion
ACCOST	approach with an offer of sexual favors
ACCOUNT	a record or narrative description of past events
ACCOUNTABILITY	responsibility to someone or for some activity
ACCOUNTABLE	liable to account for one's actions
ACCOUNTANCY	the occupation of maintaining and auditing records and preparing financial reports for a business
ACCOUNTANT	someone who maintains and audits business accounts
ACCOUNTING	a convincing explanation that reveals basic causes
ACCOUTER	provide with military equipment
ACCOUTERED	provided with necessary articles of equipment for a specialized purpose (especially military)
ACCOUTRE	provide with military equipment
ACCOUTRED	provided with necessary articles of equipment for a specialized purpose (especially military)
ACCRA	the capital and largest city of Ghana with a deep-water port
ACCREDIT	grant credentials to
ACCREDITATION	the act of granting credit or recognition (especially with respect to an educational institution that maintains suitable standards)
ACCREDITED	given official approval to act
ACCRETION	an increase by natural growth or addition
ACCRUAL	the act of accumulating
ACCRUE	come into the possession of
ACCRUED	periodically accumulated over time
ACCULTURATE	assimilate culturally
ACCULTURATION	the adoption of the behavior patterns of the surrounding culture
ACCUMULATE	get or gather together
ACCUMULATION	an increase by natural growth or addition
ACCUMULATIVE	increasing by successive addition
ACCUMULATOR	a person who is employed to collect payments (as for rent or taxes)
ACCURACY	the quality of being near to the true value
ACCURATE	conforming exactly or almost exactly to fact or to a standard or performing with total accuracy
ACCURATELY	with few mistakes
ACCURSED	under a curse
ACCUSATION	a formal charge of wrongdoing brought against a person; the act of imputing blame or guilt
ACCUSATIVE	the case of nouns serving as the direct object of a verb
ACCUSATORY	containing or expressing accusation
ACCUSE	bring an accusation against; level a charge against
ACCUSED	a defendant in a criminal proceeding
ACCUSER	someone who imputes guilt or blame
ACCUSING	containing or expressing accusation
ACCUSTOM	make psychologically or physically used (to something)
ACCUSTOMED	commonly used or practiced; usual
ACE	the smallest whole number or a numeral representing this number
ACERBATE	cause to be bitter or resentful
ACERBIC	sour or bitter in taste
ACERBITY	a sharp bitterness
ACETATE	a salt or ester of acetic acid
ACETONE	the simplest ketone; a highly flammable liquid widely used as an organic solvent and as material for making plastics
ACETONIC	of or relating to acetone
ACETYL	the organic group of acetic acid (CH3CO-)
ACETYLENE	a colorless flammable gas used chiefly in welding and in organic synthesis
ACHAEAN	a member of one of four linguistic divisions of the prehistoric Greeks, spoken on the Greek mainland, Crete and Cyprus in the 16th to 12th centuries BC
ACHE	a dull persistent (usually moderately intense) pain
ACHENE	small dry indehiscent fruit with the seed distinct from the fruit wall
ACHESON	United States statesman who promoted the Marshall Plan and helped establish NATO (1893-1971)
ACHIEVABLE	capable of existing or taking place or proving true; possible to do
ACHIEVE	to gain with effort
ACHIEVEMENT	the action of accomplishing something
ACHIEVER	a person with a record of successes
ACHING	a dull persistent (usually moderately intense) pain
ACHROMATIC	having no hue
ACHY	causing a dull and steady pain
ACID	any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt
ACIDIC	being sour to the taste
ACIDIFY	make sour or more sour
ACIDITY	the property of being acidic
ACIDOSIS	abnormally high acidity (excess hydrogen-ion concentration) of the blood and other body tissues
ACIDULOUS	being sour to the taste
ACKNOWLEDGE	declare to be true or admit the existence or reality or truth of
ACKNOWLEDGED	recognized or made known or admitted
ACKNOWLEDGEMENT	the state or quality of being recognized or acknowledged
ACKNOWLEDGMENT	the state or quality of being recognized or acknowledged
ACME	the highest level or degree attainable; the highest stage of development
ACNE	an inflammatory disease involving the sebaceous glands of the skin; characterized by papules or pustules or comedones
ACOLYTE	someone who assists a priest or minister in a liturgical service; a cleric ordained in the highest of the minor orders in the Roman Catholic Church but not in the Anglican Church or the Eastern Orthodox Churches
ACONCAGUA	the highest mountain in the western hemisphere; located in the Andes in western Argentina (22,834 feet high)
ACONITE	any of various usually poisonous plants of the genus Aconitum having tuberous roots and palmately lobed leaves and blue or white flowers
ACORN	fruit of the oak tree: a smooth thin-walled nut in a woody cup-shaped base
ACOUSTIC	a remedy for hearing loss or deafness
ACOUSTICALLY	with respect to acoustics
ACOUSTICS	the study of the physical properties of sound
ACQUAINT	cause to come to know personally
ACQUAINTANCE	personal knowledge or information about someone or something
ACQUAINTANCESHIP	a relationship less intimate than friendship
ACQUAINTED	having fair knowledge of
ACQUIESCE	to agree or express agreement
ACQUIESCENCE	acceptance without protest
ACQUIESCENT	willing to carry out the orders or wishes of another without protest
ACQUIRABLE	capable of being acquired
ACQUIRE	come into the possession of something concrete or abstract
ACQUIRED	gotten through environmental forces
ACQUIREMENT	an ability that has been acquired by training
ACQUIRER	a corporation gaining financial control over another corporation or financial institution through a payment in cash or an exchange of stock
ACQUISITION	the act of contracting or assuming or acquiring possession of something
ACQUISITIVE	eager to acquire and possess things especially material possessions or ideas
ACQUISITIVENESS	strong desire to acquire and possess
ACQUIT	pronounce not guilty of criminal charges
ACQUITTAL	a judgment of not guilty
ACQUITTED	declared not guilty of a specific offense or crime; legally blameless
ACRE	a unit of area (4840 square yards) used in English-speaking countries
ACREAGE	an area of ground used for some particular purpose (such as building or farming)
ACRES	extensive landed property (especially in the country) retained by the owner for their own use
ACRID	harsh or corrosive in tone
ACRIDITY	having an acrid smell
ACRIDNESS	the quality of being sharply disagreeable in language or tone
ACRIMONIOUS	marked by strong resentment or cynicism
ACRIMONY	a rough and bitter manner
ACROBAT	an athlete who performs acts requiring skill and agility and coordination
ACROBATIC	vigorously active
ACROBATICS	the gymnastic moves of an acrobat
ACRONYM	a word formed from the initial letters of the several words in the name and pronounced as one word
ACROPHOBIA	a morbid fear of great heights
ACROPOLIS	the citadel in ancient Greek towns
ACROSS	to the opposite side
ACROSTIC	a puzzle where you fill a square grid with words reading the same down as across
ACRYLAMIDE	a white crystalline amide of propenoic acid can damage the nervous system and is carcinogenic in laboratory animals
ACRYLIC	polymerized from acrylonitrile
ACT	a legal document codifying the result of deliberations of a committee or society or legislative body
ACTH	abbreviation of "corticotropin": a hormone produced by the anterior pituitary gland that stimulates the adrenal cortex
ACTING	the performance of a part or role in a drama
ACTINIUM	a radioactive element of the actinide series; found in uranium ores
ACTION	something done (usually as opposed to something said)
ACTIONABLE	affording grounds for legal action
ACTIVATE	put in motion or move to act
ACTIVATED	(of sewage) treated with aeration and bacteria to aid decomposition
ACTIVATING	the activity of causing to have energy and be active
ACTIVATION	stimulation of activity in an organism or chemical
ACTIVATOR	(biology) any agency bringing about activation; a molecule that increases the activity of an enzyme or a protein that increases the production of a gene product in DNA transcription
ACTIVE	chemical agent capable of activity
ACTIVISM	a policy of taking direct action to achieve a political or social goal
ACTIVIST	advocating or engaged in activism
ACTIVITY	any specific behavior
ACTON	carry further or advance
ACTOR	a theatrical performer
ACTRESS	a female actor
ACTS	a New Testament book describing the development of the early church from Christ's Ascension to Paul's sojourn at Rome
ACTUAL	presently existing in fact and not merely potential or possible
ACTUALISATION	making real or giving the appearance of reality
ACTUALISE	make real or concrete; give reality or substance to
ACTUALITY	the state of actually existing objectively
ACTUALIZATION	making real or giving the appearance of reality
ACTUALIZE	make real or concrete; give reality or substance to
ACTUALLY	used to imply that one would expect the fact to be the opposite of that stated; surprisingly
ACTUARIAL	of or relating to the work of an actuary
ACTUARY	someone versed in the collection and interpretation of numerical data (especially someone who uses statistics to calculate insurance premiums)
ACTUATE	put in motion or move to act
ACTUATED	moved to action
ACTUATING	causing motion or action or change
ACTUATION	the act of propelling
ACTUATOR	a mechanism that puts something into automatic action
ACUITY	sharpness of vision; the visual ability to resolve fine detail (usually measured by a Snellen chart)
ACUMEN	shrewdness shown by keen insight
ACUPRESSURE	treatment of symptoms by applying pressure with the fingers to specific pressure points on the body
ACUPUNCTURE	treatment of pain or disease by inserting the tips of needles at specific points on the skin
ACUTE	a mark placed above a vowel to indicate pronunciation
ACUTELY	in a keen or penetrating way
ACUTENESS	a sensitivity that is keen and highly developed
ACYCLOVIR	an oral antiviral drug (trade name Zovirax) used to treat genital herpes; does not cure the disease but relieves the symptoms
ACYL	any group or radical of the form RCO- where R is an organic group
AD	a public promotion of some product or service
ADA	abbreviation of "adenosine deaminase": an enzyme found in mammals that can catalyze the deamination of adenosine into inosine and ammonia
ADAGE	a condensed but memorable saying embodying some important fact of experience that is taken as true by many people
ADAGIO	(of tempo) leisurely
ADAM	street names for methylenedioxymethamphetamine
ADAMANT	very hard native crystalline carbon valued as a gem
ADAMANTLY	inflexibly; unshakably
ADAMS	a mountain peak in southwestern Washington in the Cascade Range (12,307 feet high)
ADANA	a city in southern Turkey on the Seyhan River
ADAPT	make fit for, or change to suit a new purpose
ADAPTABILITY	the ability to change (or be changed) to fit changed circumstances
ADAPTABLE	capable of adapting (of becoming or being made suitable) to a particular situation or use
ADAPTATION	a written work (as a novel) that has been recast in a new form
ADAPTED	changed in order to improve or made more fit for a particular purpose
ADAPTER	device that enables something to be used in a way different from that for which it was intended or makes different pieces of apparatus compatible
ADAPTION	the process of adapting to something (such as environmental conditions)
ADAPTIVE	having a capacity for adaptation
ADAPTOR	device that enables something to be used in a way different from that for which it was intended or makes different pieces of apparatus compatible
ADAR	the sixth month of the civil year; the twelfth month of the ecclesiastic year in the Jewish calendar (in February and March)
ADD	abbreviation of "attention deficit disorder": a condition characterized by hyperactivity, impulsivity, and emotional dysregulation
ADDABLE	capable of being added or added to
ADDEND	a number that is added to another number (the augend)
ADDENDUM	textual matter that is added onto a publication; usually at the end
ADDER	a person who adds numbers
ADDICT	someone who is so ardently devoted to something that it resembles an addiction
ADDICTED	compulsively or physiologically dependent on something habit-forming
ADDICTION	being abnormally tolerant to and dependent on something that is psychologically or physically habit-forming (especially alcohol or narcotic drugs)
ADDICTIVE	causing or characterized by addiction
ADDITION	a component that is added to something to improve it
ADDITIONAL	further or added
ADDITIONALLY	in addition, by way of addition; furthermore
ADDITIVE	something added to enhance food or gasoline or paint or medicine
ADDLE	mix up or confuse
ADDLED	(of eggs) no longer edible
ADDRESS	(computer science) the code that identifies where a piece of information is stored
ADDRESSABLE	capable of being addressed
ADDRESSED	(of mail) marked with a destination
ADDRESSEE	one to whom something is addressed
ADDUCE	advance evidence for
ADDUCING	citing as evidence or proof
ADELAIDE	the state capital of South Australia
ADENAUER	German statesman; chancellor of West Germany (1876-1967)
ADENINE	(biochemistry) purine base found in DNA and RNA; pairs with thymine in DNA and with uracil in RNA
ADENOCARCINOMA	malignant tumor originating in glandular epithelium
ADENOID	a collection of lymphatic tissue in the throat behind the uvula (on the posterior wall and roof of the nasopharynx)
ADENOIDAL	sounding as if the nose were pinched
ADEPT	someone who is dazzlingly skilled in any field
ADEPTNESS	skillful performance or ability without difficulty
ADEQUACY	the quality of being able to meet a need satisfactorily:
ADEQUATE	having the requisite qualities or resources to meet a task
ADEQUATENESS	the quality of being able to meet a need satisfactorily:
ADHERE	be compatible or in accordance with
ADHERENCE	faithful support for a cause or political party or religion
ADHERENT	someone who believes and helps to spread the doctrine of another
ADHESION	abnormal union of bodily tissues; most common in the abdomen
ADHESIVE	a substance that unites or bonds surfaces together
ADHESIVENESS	the property of sticking together (as of glue and wood) or the joining of surfaces of different composition
ADIABATIC	occurring without loss or gain of heat
ADIEU	a farewell remark
ADIOS	a farewell remark
ADIPOSE	composed of animal fat
ADIRONDACKS	a mountain range in northeastern New York State; a popular resort area
ADJACENCY	the attribute of being so near as to be touching
ADJACENT	nearest in space or position; immediately adjoining without intervening space
ADJECTIVAL	of or relating to or functioning as an adjective
ADJECTIVALLY	as an adjective; in an adjectival manner
ADJECTIVE	a word that expresses an attribute of something
ADJOIN	lie adjacent to another or share a boundary
ADJOURN	close at the end of a session
ADJOURNMENT	the termination of a meeting
ADJUDGE	declare to be
ADJUDICATE	put on trial or hear a case and sit as the judge at the trial of
ADJUDICATION	the final judgment in a legal proceeding; the act of pronouncing judgment based on the evidence presented
ADJUDICATIVE	concerned with adjudicating
ADJUDICATOR	a person who studies and settles conflicts and disputes
ADJUDICATORY	concerned with adjudicating
ADJUNCT	something added to another thing but not an essential part of it
ADJURATION	a solemn and earnest appeal to someone to do something
ADJURE	ask for or request earnestly
ADJUST	alter or regulate so as to achieve accuracy or conform to a standard
ADJUSTABLE	capable of being changed so as to match or fit
ADJUSTED	altered to accommodate to certain requirements or bring into a proper relation
ADJUSTER	one who investigates insurance claims or claims for damages and recommends an effective settlement
ADJUSTMENT	making or becoming suitable; adjusting to circumstances
ADJUTANT	an officer who acts as military assistant to a more senior officer
ADMAN	someone whose business is advertising
ADMINISTER	work in an administrative capacity; supervise or be in charge of
ADMINISTRATE	work in an administrative capacity; supervise or be in charge of
ADMINISTRATION	a method of tending to or managing the affairs of some group of people (especially the group's business affairs)
ADMINISTRATIVE	of or relating to or responsible for administration
ADMINISTRATIVELY	by or for an administrator
ADMINISTRATOR	someone who administers a business
ADMIRABLE	inspiring admiration or approval
ADMIRABLY	in an admirable manner
ADMIRAL	any of several brightly colored butterflies
ADMIRALTY	the department in charge of the navy (as in Great Britain)
ADMIRATION	a feeling of delighted approval and liking
ADMIRE	feel admiration for
ADMIRED	regarded with admiration
ADMIRER	a person who backs a politician or a team etc.
ADMIRINGLY	with admiration
ADMISSIBILITY	acceptability by virtue of being admissible
ADMISSIBLE	deserving to be admitted
ADMISSION	the act of admitting someone to enter
ADMIT	allow to enter; grant entry to
ADMITTANCE	the right to enter
ADMITTEDLY	as acknowledged
ADMIX	mix or mingle
ADMIXTURE	the state of impairing the quality or reducing the value of something
ADMONISH	advise or counsel in terms of someone's behavior
ADMONISHING	expressing reproof or reproach especially as a corrective
ADMONISHMENT	a firm rebuke
ADMONITION	cautionary advice about something imminent (especially imminent danger or other unpleasantness)
ADMONITORY	expressing reproof or reproach especially as a corrective
ADO	a rapid active commotion
ADOBE	sun-dried brick; used in hot dry climates
ADOLESCENCE	the time period between the beginning of puberty and adulthood
ADOLESCENT	a juvenile between the onset of puberty and maturity
ADONIS	(Greek mythology) a handsome youth loved by both Aphrodite and Persephone
ADOPT	choose and follow; as of theories, ideas, policies, strategies or plans
ADOPTABLE	suitable or eligible for adoption
ADOPTED	acquired as your own by free choice
ADOPTION	the act of accepting with approval; favorable reception
ADOPTIVE	of parents and children; related by adoption
ADORABLE	lovable especially in a childlike or naive way
ADORABLENESS	extreme attractiveness
ADORABLY	in an adorable manner
ADORATION	a feeling of profound love and admiration
ADORE	love intensely
ADORED	regarded with deep or rapturous love (especially as if for a god)
ADORER	someone who admires a young woman
ADORING	extravagantly or foolishly loving and indulgent
ADORINGLY	with adoration
ADORN	make more attractive by adding ornament, colour, etc.
ADORNED	provided with something intended to increase its beauty or distinction
ADORNMENT	a decoration of color or interest that is added to relieve plainness
ADP	abbreviation of "adenosine diphosphate": an ester of adenosine that is converted to ATP for energy storage
ADRENAL	either of a pair of complex endocrine glands situated near the kidney
ADRENALINE	a catecholamine secreted by the adrenal medulla in response to stress (trade name Adrenalin); stimulates autonomic nerve action
ADRENERGIC	drug that has the effects of epinephrine
ADRIAN	English physiologist who conducted research into the function of neurons; 1st baron of Cambridge (1889-1977)
ADRIATIC	an arm of the Mediterranean between Slovenia and Croatia and Montenegro and Albania on the east and Italy on the west
ADRIFT	floating freely; not anchored
ADROIT	quick or skillful or adept in action or thought
ADROITNESS	skillful performance or ability without difficulty
ADSORB	accumulate (liquids or gases) on the surface
ADSORBENT	a material having capacity or tendency to adsorb another substance
ADSORPTION	the accumulation of molecules of a gas to form a thin film on the surface of a solid
ADULATE	flatter in an obsequious manner
ADULATION	servile flattery; exaggerated and hypocritical praise
