answer	length	kind	pos	clue	selfref	display	lexname	synset
ABDOMINALNERVEPLEXUS	20	common	noun	a large plexus of sympathetic nerves in the abdomen behind the stomach	1	abdominal nerve plexus	noun.body	05516386-n
ABDOMINALPREGNANCY	18	common	noun	ectopic pregnancy in the abdominal cavity	1	abdominal pregnancy	noun.state	14070922-n
ABDOMINALWALL	13	common	noun	a wall of the abdomen	1	abdominal wall	noun.body	05612189-n
ABDOMINOCENTESIS	16	common	noun	centesis of the belly to remove fluid for diagnosis	0	abdominocentesis	noun.act	00945287-n
ABDOMINOPLASTY	14	common	noun	cosmetic surgery of the abdomen to remove wrinkles and tighten the skin over the stomach	0	abdominoplasty	noun.act	00035498-n
ABDOMINOUS	10	common	adj	having a large belly	0	abdominous	adj.all	00989648-s
ABDOMINOUSNESS	14	common	noun	the bodily property of a protruding belly	0	abdominousness	noun.attribute	05007129-n
ABDOMINOVESICAL	15	common	adj	of or relating to the abdomen and the urinary bladder	0	abdominovesical	adj.pert	02609578-a
ABDUCE	6	common	verb	advance evidence for	0	abduce	verb.communication	01017875-v
ABDUCENS	8	common	noun	a small motor nerve supplying the lateral rectus muscle of the eye	0	abducens	noun.body	05486760-n
ABDUCENSMUSCLE	14	common	noun	the ocular muscle whose contraction turns the eyeball outward	1	abducens muscle	noun.body	05323957-n
ABDUCENSNERVE	13	common	noun	a small motor nerve supplying the lateral rectus muscle of the eye	1	abducens nerve	noun.body	05486760-n
ABDUCENT	8	common	adj	especially of muscles; drawing away from the midline of the body or from an adjacent part	0	abducent	adj.all	00002956-a
ABDUCENT	8	common	noun	a small motor nerve supplying the lateral rectus muscle of the eye	0	abducent	noun.body	05486760-n
ABDUCENTNERVE	13	common	noun	a small motor nerve supplying the lateral rectus muscle of the eye	1	abducent nerve	noun.body	05486760-n
ABDUCT	6	common	verb	pull away from the body	0	abduct	verb.contact	01452020-v
ABDUCT	6	common	verb	take away to an undisclosed location against their will and usually in order to extract a ransom	0	abduct	verb.contact	01473673-v
ABDUCTING	9	common	adj	especially of muscles; drawing away from the midline of the body or from an adjacent part	0	abducting	adj.all	00002956-a
ABDUCTION	9	common	noun	(physiology) moving of a body part away from the central axis of the body	0	abduction	noun.act	00333863-n
ABDUCTOR	8	common	noun	a muscle that draws a body part away from the median line	0	abductor	noun.body	05298509-n
ABDUCTOR	8	common	noun	someone who unlawfully seizes and detains a victim (usually for ransom)	0	abductor	noun.person	10250498-n
ABDUCTORMUSCLE	14	common	noun	a muscle that draws a body part away from the median line	1	abductor muscle	noun.body	05298509-n
ABEAM	5	common	adv	at right angles to the length of a ship or airplane	0	abeam	adv.all	00076147-r
ABECEDARIAN	11	common	adj	alphabetically arranged (as for beginning readers)	0	abecedarian	adj.all	00101642-s
ABECEDARIAN	11	common	noun	a 16th century sect of Anabaptists centered in Germany who had an absolute disdain for human knowledge	0	Abecedarian	noun.group	08110619-n
ABECEDARIAN	11	common	noun	a novice learning the rudiments of some subject	0	abecedarian	noun.person	09775119-n
ABECEDARIUS	11	common	noun	a poem having lines beginning with letters of the alphabet in regular order	0	abecedarius	noun.communication	06389594-n
ABED	4	common	adv	in bed	0	abed	adv.all	00230832-r
ABEL	4	name	noun	Norwegian mathematician (1802-1829)	0	Abel	noun.person	10826801-n
ABELARD	7	name	noun	French philosopher and theologian; lover of Heloise (1079-1142)	0	Abelard	noun.person	10826921-n
ABELE	5	common	noun	a poplar that is widely cultivated in the United States; has white bark and leaves with whitish undersurfaces	0	abele	noun.plant	12752769-n
ABELIANGROUP	12	common	noun	a group that satisfies the commutative law	1	Abelian group	noun.cognition	06026821-n
ABELJANSZOONTASMAN	18	name	noun	Dutch navigator who was the first European to discover Tasmania and New Zealand (1603-1659)	0	Abel Janszoon Tasman	noun.person	11352063-n
ABELMOSCHUS	11	name	noun	genus of tropical coarse herbs having large lobed leaves and often yellow flowers	0	Abelmoschus	noun.plant	12192267-n
ABELMOSCHUSMOSCHATUS	20	common	noun	bushy herb of tropical Asia grown for its yellow or pink to scarlet blooms that resemble the hibiscus	0	Abelmoschus moschatus	noun.plant	12192998-n
ABELMOSK	8	common	noun	bushy herb of tropical Asia grown for its yellow or pink to scarlet blooms that resemble the hibiscus	0	abelmosk	noun.plant	12192998-n
ABELTASMAN	10	name	noun	Dutch navigator who was the first European to discover Tasmania and New Zealand (1603-1659)	0	Abel Tasman	noun.person	11352063-n
ABENAKI	7	common	noun	a member of the Algonquian people of Maine and southern Quebec	0	Abenaki	noun.person	09665709-n
ABERDARE	8	name	noun	a mining town in southern Wales	0	Aberdare	noun.location	08915375-n
ABERDEEN	8	name	noun	a city in northeastern Scotland on the North Sea	0	Aberdeen	noun.location	08912413-n
ABERDEEN	8	name	noun	a town in northeastern Maryland	0	Aberdeen	noun.location	09116677-n
ABERDEEN	8	name	noun	a town in northeastern South Dakota	0	Aberdeen	noun.location	09162102-n
ABERDEEN	8	name	noun	a town in western Washington	0	Aberdeen	noun.location	09176333-n
ABERDEENANGUS	13	common	noun	black hornless breed from Scotland	0	Aberdeen Angus	noun.animal	02408581-n
ABERDONIAN	10	common	adj	of or relating to Aberdeen	0	Aberdonian	adj.pert	02609711-a
ABERRANCE	9	common	noun	a state or condition markedly different from the norm	0	aberrance	noun.state	14527267-n
ABERRANCY	9	common	noun	a state or condition markedly different from the norm	0	aberrancy	noun.state	14527267-n
ABERRANT	8	common	adj	markedly different from an accepted norm	0	aberrant	adj.all	01600704-s
ABERRANT	8	common	noun	one whose behavior departs substantially from the norm of a group	0	aberrant	noun.person	09775224-n
ABERRATE	8	common	verb	diverge or deviate from the straight path; produce aberration	0	aberrate	verb.stative	02667847-v
ABERRATE	8	common	verb	diverge from the expected	0	aberrate	verb.stative	02668154-v
ABERRATION	10	common	noun	an optical phenomenon resulting from the failure of a lens or mirror to produce a good image	0	aberration	noun.phenomenon	11440253-n
ABERRATION	10	common	noun	a disorder in one's mental state	0	aberration	noun.state	14409995-n
ABERRATION	10	common	noun	a state or condition markedly different from the norm	0	aberration	noun.state	14527267-n
ABET	4	common	verb	assist or encourage, usually in some wrongdoing	0	abet	verb.social	02554908-v
ABETMENT	8	common	noun	the verbal act of urging on	0	abetment	noun.communication	07266287-n
ABETTAL	7	common	noun	the verbal act of urging on	0	abettal	noun.communication	07266287-n
ABETTER	7	common	noun	one who helps or encourages or incites another	0	abetter	noun.person	09775380-n
ABETTOR	7	common	noun	one who helps or encourages or incites another	0	abettor	noun.person	09775380-n
ABEYANCE	8	common	noun	temporary cessation or suspension	0	abeyance	noun.state	14034107-n
ABEYANT	7	common	adj	inactive but capable of becoming active	0	abeyant	adj.all	00034145-s
ABFARAD	7	common	noun	a capacitance unit equal to one billion farads	0	abfarad	noun.quantity	13658008-n
ABHENRY	7	common	noun	a unit of inductance equal to one billionth of a henry	0	abhenry	noun.quantity	13660626-n
ABHOR	5	common	verb	find repugnant	0	abhor	verb.emotion	01778347-v
ABHORRENCE	10	common	noun	hate coupled with disgust	0	abhorrence	noun.feeling	07518669-n
ABHORRENT	9	common	adj	offensive to the mind	0	abhorrent	adj.all	01629244-s
ABIDANCE	8	common	noun	the act of abiding (enduring without yielding)	0	abidance	noun.act	01023831-n
ABIDANCE	8	common	noun	the act of dwelling in a place	0	abidance	noun.act	01055844-n
ABIDANCE	8	common	noun	acting according to certain accepted standards	0	abidance	noun.act	01206166-n
ABIDE	5	common	verb	put up with something or somebody unpleasant	0	abide	verb.cognition	00670017-v
ABIDE	5	common	verb	dwell	0	abide	verb.stative	02643286-v
ABIDEBY	7	common	verb	show respect towards	0	abide by	verb.social	02462665-v
ABIDEBY	7	common	verb	act in accordance with someone's rules, commands, or wishes	0	abide by	verb.social	02547977-v
ABIDING	7	common	adj	lasting a long time	0	abiding	adj.all	01759375-s
ABIDJAN	7	name	noun	city recognized by the United States as the capital of the Ivory Coast; largest city of the Ivory Coast	0	Abidjan	noun.location	08754612-n
ABIENCE	7	common	noun	(psychology) an urge to withdraw or avoid a situation or an object	0	abience	noun.motive	09203513-n
ABIENT	6	common	adj	characterized by avoidance or withdrawal	0	abient	adj.pert	02610106-a
ABIES	5	name	noun	true firs	0	Abies	noun.plant	11641011-n
ABIESALBA	9	common	noun	tall timber tree of central and southern Europe having a regular crown and grey bark	0	Abies alba	noun.plant	11641998-n
ABIESBRACTEATA	14	common	noun	a pyramidal fir of southwestern California having spiny pointed leaves and cone scales with long spines	0	Abies bracteata	noun.plant	11643222-n
ABIESCONCOLOR	13	common	noun	medium to tall fir of central to western United States having a narrow erect crown and soft wood	0	Abies concolor	noun.plant	11642178-n
ABIESGRANDIS	12	common	noun	lofty fir of the Pacific coast of northwestern America having long curving branches and deep green leaves	0	Abies grandis	noun.plant	11642819-n
ABIESLASIOCARPA	15	common	noun	medium-tall timber tree of the Rocky Mountains having a narrowly conic to columnar crown	0	Abies lasiocarpa	noun.plant	11643042-n
ABIESLOWIANA	12	common	noun	medium to tall fir of central to western United States having a narrow erect crown and soft wood	0	Abies lowiana	noun.plant	11642178-n
ABIESVENUSTA	12	common	noun	a pyramidal fir of southwestern California having spiny pointed leaves and cone scales with long spines	0	Abies venusta	noun.plant	11643222-n
ABILA	5	name	noun	a promontory in northern Morocco opposite the Rock of Gibraltar; one of the Pillars of Hercules	0	Abila	noun.object	09344600-n
ABILENE	7	name	noun	a town in central Kansas to the west of Topeka; home of Dwight D. Eisenhower	0	Abilene	noun.location	09110709-n
ABILENE	7	name	noun	a city in central Texas	0	Abilene	noun.location	09165411-n
ABILITY	7	common	noun	the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment	0	ability	noun.attribute	05207437-n
ABILITY	7	common	noun	possession of the qualities (especially mental qualities) required to do something or get something done	0	ability	noun.cognition	05624029-n
ABINITIO	8	common	adv	at the beginning	0	ab initio	adv.all	00103744-r
ABIOGENESIS	11	common	noun	a hypothetical organic phenomenon by which living organisms are created from nonliving matter	0	abiogenesis	noun.phenomenon	11440490-n
ABIOGENETIC	11	common	adj	originating by abiogenesis	0	abiogenetic	adj.pert	02610254-a
ABIOGENIST	10	common	noun	a believer in abiogenesis	0	abiogenist	noun.person	09775731-n
ABIOTROPHY	10	common	noun	a loss of vitality and a degeneration of cells and tissues not due to any apparent injury	0	abiotrophy	noun.event	07442711-n
ABIT	4	common	adv	to a small degree; somewhat	0	a bit	adv.all	00034050-r
ABJECT	6	common	adj	showing humiliation or submissiveness	0	abject	adj.all	00792836-s
ABJECT	6	common	adj	of the most contemptible kind	0	abject	adj.all	00907967-s
ABJECT	6	common	adj	most unfortunate or miserable	0	abject	adj.all	01053640-s
ABJECT	6	common	adj	showing utter resignation or hopelessness	0	abject	adj.all	01232308-s
ABJECTION	9	common	noun	a low or downcast state	0	abjection	noun.state	14464089-n
ABJECTLY	8	common	adv	in a hopeless resigned manner	0	abjectly	adv.all	00265770-r
ABJURATION	10	common	noun	a disavowal or taking back of a previous assertion	0	abjuration	noun.communication	07220756-n
ABJURE	6	common	verb	formally reject or disavow a formerly held belief, usually under pressure	0	abjure	verb.communication	00800379-v
ABJURER	7	common	noun	a person who abjures	1	abjurer	noun.person	09773872-n
ABKHAS	6	name	noun	Circassian people living east of the Black Sea	0	Abkhas	noun.group	08504963-n
ABKHAS	6	common	noun	a member of the Circassian people who live to the east of the Black Sea	0	Abkhas	noun.person	09660722-n
ABKHASIAN	9	common	noun	a Circassian language spoken by the Abkhaz	0	Abkhasian	noun.communication	06991316-n
ABKHASIAN	9	common	noun	a member of the Circassian people who live to the east of the Black Sea	0	Abkhasian	noun.person	09660722-n
ABKHASIANLANGUAGE	17	common	noun	a Circassian language spoken by the Abkhaz	1	Abkhasian language	noun.communication	06991316-n
ABKHAZ	6	common	adj	of or relating to Abkhazia or its people or their language	0	Abkhaz	adj.pert	02609866-a
ABKHAZ	6	name	noun	Circassian people living east of the Black Sea	0	Abkhaz	noun.group	08504963-n
ABKHAZ	6	name	noun	republic with limited recognition in the Caucasus	0	Abkhaz	noun.location	09041725-n
ABKHAZ	6	common	noun	a member of the Circassian people who live to the east of the Black Sea	0	Abkhaz	noun.person	09660722-n
ABKHAZIA	8	name	noun	republic with limited recognition in the Caucasus	0	Abkhazia	noun.location	09041725-n
ABKHAZIAN	9	common	adj	of or relating to Abkhazia or its people or their language	0	Abkhazian	adj.pert	02609866-a
ABKHAZIAN	9	common	noun	a Circassian language spoken by the Abkhaz	0	Abkhazian	noun.communication	06991316-n
ABKHAZIAN	9	common	noun	a member of the Circassian people who live to the east of the Black Sea	0	Abkhazian	noun.person	09660722-n
ABKHAZIANLANGUAGE	17	common	noun	a Circassian language spoken by the Abkhaz	1	Abkhazian language	noun.communication	06991316-n
ABLACTATE	9	common	verb	gradually deprive (infants and young mammals) of mother's milk	0	ablactate	verb.consumption	01189491-v
ABLACTATION	11	common	noun	the act of substituting other food for the mother's milk in the diet of a child or young mammal	0	ablactation	noun.act	00199119-n
ABLACTATION	11	common	noun	the cessation of lactation	0	ablactation	noun.process	13444578-n
ABLATE	6	common	verb	remove an organ or bodily structure	0	ablate	verb.change	00177588-v
ABLATE	6	common	verb	wear away through erosion or vaporization	0	ablate	verb.change	00276265-v
ABLATED	7	common	adj	made smaller or less by melting or erosion or vaporization	0	ablated	adj.all	00885260-s
ABLATION	8	common	noun	surgical removal of a body part or tissue	0	ablation	noun.act	00394177-n
ABLATION	8	common	noun	the erosive process that reduces the size of glaciers	0	ablation	noun.process	13444662-n
ABLATIONMORAINE	15	common	noun	a layer of rock particles overlying ice in the ablation of a glacier.	1	ablation moraine	noun.object	92433188-n
ABLATIVE	8	common	adj	tending to ablate; i.e. to be removed or vaporized at very high temperature	0	ablative	adj.all	00050480-s
ABLATIVE	8	common	adj	relating to the ablative case	1	ablative	adj.pert	03053150-a
ABLATIVEABSOLUTE	16	common	noun	a constituent in Latin grammar; a noun and its modifier can function as a sentence modifier	0	ablative absolute	noun.communication	06323602-n
ABLAUT	6	common	noun	a vowel whose quality or length is changed to indicate linguistic distinctions (such as sing sang sung song)	0	ablaut	noun.communication	07126811-n
ABLAZE	6	common	adj	lighted with red light as if with flames	0	ablaze	adj.all	00271362-s
ABLAZE	6	common	adj	resembling flame in brilliance or color	0	ablaze	adj.all	00403798-s
ABLAZE	6	common	adj	lighted up by or as by fire or flame	0	ablaze	adj.all	00477298-s
ABLAZE	6	common	adj	keenly excited (especially sexually) or indicating excitement	0	ablaze	adj.all	01730235-s
ABLE	4	common	adj	(usually followed by ‘to’) having the necessary means or skill or know-how or authority to do something	0	able	adj.all	00001740-a
ABLE	4	common	adj	having inherent physical or mental ability or capacity	0	able	adj.all	00307461-s
ABLE	4	common	adj	have the skills and qualifications to do things well	0	able	adj.all	00512273-s
ABLE	4	common	adj	having a strong healthy body	0	able	adj.all	01021031-s
ABLEBODIED	10	common	adj	having a strong healthy body	0	able-bodied	adj.all	01021031-s
ABLEBODIEDISM	13	common	noun	discrimination in favor of the able-bodied	1	able-bodiedism	noun.act	01156732-n
ABLEBODIEDSAILOR	16	common	noun	a sailor in the merchant marine; trained in special skills	1	able-bodied sailor	noun.person	09775831-n
ABLEBODIEDSEAMAN	16	common	noun	a seaman in the merchant marine; trained in special skills	1	able-bodied seaman	noun.person	89266773-n
ABLEBODIEDSEAWOMAN	18	common	noun	a female sailor in the merchant marine; trained in special skills	0	able-bodied seawoman	noun.person	85243250-n
ABLEBODISM	10	common	noun	discrimination in favor of the able-bodied	1	able-bodism	noun.act	01156732-n
ABLEISM	7	common	noun	discrimination in favor of the able-bodied	0	ableism	noun.act	01156732-n
ABLEPHARIA	10	common	noun	a congenital absence of eyelids (partial or complete)	0	ablepharia	noun.state	14175651-n
ABLESEAMAN	10	common	noun	a seaman in the merchant marine; trained in special skills	1	able seaman	noun.person	89266773-n
ABLESEAWOMAN	12	common	noun	a female sailor in the merchant marine; trained in special skills	0	able seawoman	noun.person	85243250-n
ABLISM	6	common	noun	discrimination in favor of the able-bodied	0	ablism	noun.act	01156732-n
ABLOOM	6	common	adj	when the bud, or buds, on a plant are bursting into flower	0	abloom	adj.all	01492219-s
ABLS	4	common	noun	a bachelor's degree in library science	0	ABLS	noun.communication	06711538-n
